experiment,block,method,retention,worst_pair,new_learning,below_chance,unused_presented
EXP-007,block_1000,ordinary,0.7363218852880182,0.00785291120546737,0.993525647868206,0.25,0.410958904109589
EXP-007,block_1000,homeostasis,0.7498833826899342,0.0505930179067414,0.9923302486245018,0.25,0.3698630136986301
EXP-007,block_1001,ordinary,0.9240624018397625,0.031783565388747645,0.9888344292004916,0.0625,0.2602739726027397
EXP-007,block_1001,homeostasis,0.9158819499223746,0.1258868060813598,0.9889962600872846,0.0625,0.1917808219178082
EXP-007,block_1002,ordinary,0.9101063720090641,0.07051162262782948,0.996053851540355,0.0625,0.4246575342465753
EXP-007,block_1002,homeostasis,0.8916170058894839,0.1056756079149225,0.9955287809017612,0.0625,0.3013698630136986
EXP-007,block_1003,ordinary,0.8082555031066392,0.383884775552166,0.9822357543122828,0.125,0.3835616438356164
EXP-007,block_1003,homeostasis,0.761043367059014,0.06844156788212685,0.9713550812336365,0.25,0.3698630136986301
EXP-007,block_1004,ordinary,0.8733445381930147,0.5298859685371746,0.9934205724045506,0.0,0.4383561643835616
EXP-007,block_1004,homeostasis,0.7863605332162893,0.07989918103786282,0.9901826846794424,0.25,0.3835616438356164
EXP-007,block_1005,ordinary,0.7171844335142656,0.037633999741965914,0.9940184977773941,0.25,0.4657534246575342
EXP-007,block_1005,homeostasis,0.771819051089456,0.014332652472619318,0.9915498961433645,0.25,0.410958904109589
EXP-007,block_1006,ordinary,0.844220503891423,0.17041424851746273,0.9957849267307459,0.125,0.3698630136986301
EXP-007,block_1006,homeostasis,0.8688335407257373,0.20376179657059001,0.9971694059458796,0.125,0.3150684931506849
EXP-007,block_1007,ordinary,0.8859973256211252,0.31842782740468667,0.9889003236319843,0.0625,0.410958904109589
EXP-007,block_1007,homeostasis,0.884858584046611,0.37864503414969564,0.9948886727728317,0.125,0.3698630136986301
EXP-007,block_1008,ordinary,0.8928904296519371,0.18464595967015415,0.9911832007860644,0.125,0.3561643835616438
