source,sha256,key,mean,lower,upper,scale,interval_status,n,unit
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,primary/baseline6,-0.0027173243620971198,-0.01672066421045329,0.011338194895735598,original proportions unless geometry/count,98.333333% primary three-contrast family,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,primary/ordinary,-0.0027173243620971198,-0.01672066421045329,0.011338194895735598,original proportions unless geometry/count,98.333333% primary three-contrast family,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,primary/sham,-0.009989874063064903,-0.025258896487439106,0.003291690890014905,original proportions unless geometry/count,98.333333% primary three-contrast family,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/baseline6/new_learning,-0.0028146656881735538,-0.008715528891829706,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/baseline6/reversal,-9.470767126841875e-05,-0.022358594363109628,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/baseline6/unchanged,0.002546119548289297,-0.024740812209734266,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/baseline6/worst_pair,-0.01729722926096533,-0.07970523277212835,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/ordinary/new_learning,-0.0028146656881735538,-0.008715528891829706,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/ordinary/reversal,-9.470767126841875e-05,-0.022358594363109628,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/ordinary/unchanged,0.002546119548289297,-0.024740812209734266,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
