overlap,regime,load,shift,method,pair,subsequent_presentations,retention,lower95,upper95,forgetting,lower95_forgetting,upper95_forgetting
5,per_pair,4,False,baseline_high,0,384,0.9961483589636356,0.9945858799222405,0.9975758247386363,0.0019865010219951296,0.0005546559640646056,0.003495376873876128
5,per_pair,4,False,baseline_high,1,256,0.9799913416224535,0.9611996716544494,0.991846936259703,0.009539199748087557,0.0024802112587562486,0.020233891031483788
5,per_pair,4,False,baseline_high,2,128,0.9941677363871771,0.9911628173087434,0.9966113775356361,6.0225059823379445e-05,-0.0013480118093132185,0.0014694309196411363
5,per_pair,4,False,baseline_high,3,0,0.9823136190720191,0.9589026222383693,0.9955608207671444,0.0,0.0,0.0
5,per_pair,4,False,ordinary,0,384,0.995754697702075,0.9930533873586911,0.9978769215791762,0.0026904020615846854,0.000940572226054475,0.004865001962923346
5,per_pair,4,False,ordinary,1,256,0.9879363473727213,0.9790185585108325,0.9944173919118023,0.005485534627298093,0.0007025180176595435,0.012297591473571007
5,per_pair,4,False,ordinary,2,128,0.9943346428560856,0.9905285508780155,0.9973331012327584,0.0005452007172158565,-0.0011749031973316785,0.0026694367995944205
5,per_pair,4,False,ordinary,3,0,0.9840649999584867,0.9617168397202307,0.9966193499488435,0.0,0.0,0.0
5,per_pair,4,False,homeostasis,0,384,0.9951870490681878,0.9909479860696673,0.9980960150171785,0.002466440160893979,0.0005482041980079473,0.0052095792232028405
5,per_pair,4,False,homeostasis,1,256,0.9871785229910838,0.976678227470084,0.9943016012302042,0.00555668690231607,-0.00041708988324050216,0.013678351579562289
5,per_pair,4,False,homeostasis,2,128,0.9949007935611736,0.9919768755467057,0.9973706711591497,0.00031213488319237664,-0.00172927740193294,0.0021313648583335715
5,per_pair,4,False,homeostasis,3,0,0.9897386818234457,0.9757300656514973,0.997791119354734,0.0,0.0,0.0
5,per_pair,4,False,sham,0,384,0.9953569256322036,0.9917766594489539,0.9980513956754715,0.0023180769293349355,0.0005051477285489812,0.004653180977669203
5,per_pair,4,False,sham,1,256,0.9796649833255735,0.9606641551199048,0.9929193129198116,0.00961123456016893,0.0009649213466074154,0.020226005532902862
5,per_pair,4,False,sham,2,128,0.9948968626317424,0.9915166831339354,0.9976028724382531,0.00021420701775842765,-0.001995258207672497,0.0021121778349602674
5,per_pair,4,False,sham,3,0,0.9826816778007398,0.9538422889345982,0.9977617123252913,0.0,0.0,0.0
5,per_pair,4,False,random_ordinary,0,384,0.9961420998149757,0.9926143468920475,0.9984563691245409,0.0021942203583185244,0.0005617303411101486,0.004955466728402651
5,per_pair,4,False,random_ordinary,1,256,0.9793605462885108,0.9630317503758181,0.991926259885381,0.0089548407772029,0.0025363230204298514,0.018931947177059812
5,per_pair,4,False,random_ordinary,2,128,0.9945644616109112,0.9910437338228403,0.9973499515321843,0.000805805699892137,6.718363101679623e-07,0.0017072779004374413
5,per_pair,4,False,random_ordinary,3,0,0.987857834419874,0.9733706321984288,0.996422064325548,0.0,0.0,0.0
5,per_pair,4,False,random_homeostasis,0,384,0.9965667754229589,0.993971417667473,0.9986318110966396,0.001967561658542246,0.0008777718360775377,0.0032292096808172062
5,per_pair,4,False,random_homeostasis,1,256,0.9934341482378423,0.9888361177906924,0.9972390232765038,0.0035042326977894243,0.0008442639141768825,0.00700268185192226
5,per_pair,4,False,random_homeostasis,2,128,0.9960706002361612,0.9899524164476242,0.9993753289725763,-0.000831611968768344,-0.0034522133473389263,0.0006889936047531515
5,per_pair,4,False,random_homeostasis,3,0,0.9940372342423626,0.9865940502189212,0.9991648783182849,0.0,0.0,0.0
5,per_pair,4,False,direct,0,384,0.9938829782473922,0.9896912037977463,0.9973127803381673,0.003923142395721242,0.0012829387180421405,0.007262369511122741
5,per_pair,4,False,direct,1,256,0.9967335883763346,0.99465541360246,0.9984172901199764,0.0019029549656804877,0.00033166033279388604,0.003896877928474337
